Species Name,Location,Tissue Voucher,Specimen Voucher,MB
Bathyplotes bongraini,Amundsen Sea,MOLAF767,NMV no voucher,HM196536
Bathyplotes bongraini,Antarctic Peninsula,MOLSI030,USNM 1132646,HM196537
Bathyplotes bongraini,Ross Sea,MOLG006,MNA 2336,HM196538
Bathyplotes bongraini,South Shetland Islands,MOLSI023,USNM 1132643,HM196539
Bathyplotes bongraini,Ross Sea,MOLN002,NIWA 36224,HM196540
Bathyplotes bongraini,Bouvet Island,MOLAF048,NMV F104841-1,HM196541
Bathyplotes bongraini,Ross Sea,MOLN001,NIWA 36811,HM196542
Bathyplotes bongraini,Bouvet Island,MOLAF047,NMV F104863-2,HM196543
Bathyplotes bongraini,Ross Sea,MOLG004,MNA 2102,HM196544
Bathyplotes bongraini,Ross Sea,MOLG005,MNA 2094,HM196545
Bathyplotes bongraini,Ross Sea,MOLN003,NIWA 36560,HM196546
Bathyplotes moseleyi complex,Falkland Islands,MOLAF051,NMV F104995-1,HM196547
Bathyplotes moseleyi complex,Ross Sea,MOLN007,NIWA 38924,HM196548
Bathyplotes moseleyi complex,South Shetland Islands,MOLAF049,NMV F104903-1,HM196549
Bathyplotes moseleyi complex,Bouvet Island,MOLAF615,NMV F104840-1,HM196550
Bathyplotes moseleyi complex,Ross Sea,MOLG011,MNA 2136,HM196551
Bathyplotes moseleyi complex,Bouvet Island,MOLAF616,NMV F104839-1,HM196552
Bathyplotes moseleyi complex,Ross Sea,MOLN010,NIWA 38859,HM196553
Bathyplotes moseleyi complex,Ross Sea,MOLN193,NIWA 35624,HM196554
Bathyplotes moseleyi complex,Ross Sea,MOLN140a,NIWA 38858,HM196555
Bathyplotes moseleyi complex,Ross Sea,MOLN140b,NIWA 38858,HM196556
Bathyplotes moseleyi complex,Amundsen Sea,MOLAF766,NMV no voucher,HM196557
Bathyplotes moseleyi complex,Ross Sea,MOLN004,NIWA 37008,HM196558
Bathyplotes moseleyi complex,Ross Sea,MOLN005,NIWA 35689,HM196559
Bathyplotes moseleyi complex,Ross Sea,MOLN008,NIWA 39274,HM196560
Bathyplotes moseleyi complex,Ross Sea,MOLN009,NIWA 37756,HM196561
Bathyplotes moseleyi complex,Ross Sea,MOLN013,NIWA 38938,HM196562
Bathyplotes moseleyi complex,Ross Sea,MOLG001,MNA 2194,HM196563
Bathyplotes moseleyi complex,Amundsen Sea,MOLAF743,NMV F168838,HM196564
Benthodytes sanguinolenta,Ross Sea,MOLN108,NIWA 38034,HM196505
Benthodytes sanguinolenta,Northwest Australia,MOLAF380,NMV F146604,HM196506
Benthodytes sanguinolenta,Northwest Australia,MOLAF381,NMV F149726,HM196507
Benthodytes sanguinolenta,Northwest Australia,MOLAF382,NMV F150790,HM196508
Crucella hystrix,Amundsen Sea,MOLAF793,NMV no voucher,HM196710
Crucella hystrix,Ross Sea,MOLN170,NIWA 38641,HM196711
Crucella hystrix,Ross Sea,MOLN169,NIWA 42202,HM196712
Crucella hystrix,Ross Sea,MOLN171,NIWA 37784,HM196713
Crucella scotiae,South Shetland Islands,MOLSI068,USNM 1132679,HM196719
Crucella scotiae,Ross Sea,MOLG098,MNA 2288,HM196720
Crucella scotiae,Ross Sea,MOLN192,NIWA 36602,HM196721
Crucella scotiae,Ross Sea,MOLG097,MNA 2274,HM196722
Crucella scotiae,Ross Sea,MOLG099,MNA 2111,HM196723
Cucamba psolidiformis,Ross Sea,MOLN189,NIWA 35777,HM196675
Cucamba psolidiformis,Bouvet Island,MOLAF518,NMV F104888,HM196676
Cucamba psolidiformis,Bouvet Island,MOLAF519,NMV F104988,HM196677
Cucamba psolidiformis,Bouvet Island,MOLAF520,NMV F160034,HM196678
Cucamba psolidiformis,Ross Sea,MOLN191,NIWA 36609,HM196679
Cucamba psolidiformis,Ross Sea,MOLN190,NIWA 36719,HM196680
Cucamba psolidiformis,South Sandwich Islands,MOLAF521,NMV F104885,HM196681
Cucamba psolidiformis,South Shetland Islands,MOLSI054,USNM 1132670,HM196682
Cucamba psolidiformis,South Shetland Islands,MOLSI055,USNM 1132670,HM196683
Cucumaria dudexa,Ross Sea,MOLN185,NIWA 38640,HM196706
Cucumaria dudexa,Ross Sea,MOLN186,NIWA 38908,HM196707
Cucumaria dudexa,Ross Sea,MOLN183,NIWA 38870,HM196708
Cucumaria dudexa,Ross Sea,MOLN184,NIWA 39125,HM196709
Cucumaria georgiana,Ross Sea,MOLN151,NIWA 42155,HM196430
Cucumaria georgiana,South Shetland Islands,MOLSI058,USNM 1132672,HM196431
Cucumaria georgiana,Ross Sea,MOLG095,MNA 2423,HM196432
Cucumaria georgiana,Ross Sea,MOLN152,NIWA 42185,HM196433
Cucumaria georgiana,Ross Sea,MOLG087,MNA 2089,HM196434
Cucumaria georgiana,Ross Sea,MOLN147,NIWA 42167,HM196435
Cucumaria georgiana,Ross Sea,MOLN148,NIWA 42191,HM196436
Cucumaria georgiana,Ross Sea,MOLN149,NIWA 42197,HM196437
Cucumaria georgiana,Ross Sea,MOLG096,MNA 2391,HM196456
Cucumaria georgiana,Ross Sea,MOLG092,MNA 2078,HM196457
Cucumaria georgiana,Ross Sea,MOLG093,MNA 2075,HM196458
Cucumaria georgiana,Ross Sea,MOLG086,MNA 2074,HM196459
Cucumaria georgiana,South Sandwich Islands,MOLAF525,NMV F160027,HM196460
Cucumaria georgiana,South Shetland Islands,MOLAF524,NMV F104811,HM196461
Elpidia glacialis,Amundsen Sea,MOLAF740,NMV no voucher,HM196413
